Case,Model,Inference_Time_s,FPS,Mean_Dice,Mean_HD95_mm,Device
case_001,ORIGINAL,121.609648416,0.0082230317497442,0.7255893416168514,,cpu
case_001,FP16,99.00480479200002,0.0101005198899276,0.725520131731646,,cpu
case_001,INT8,100.49723770799996,0.0099505222512239,0.0313850837669638,,cpu
case_002,ORIGINAL,100.27999566700004,0.0099720786119766,0.7380329097282884,,cpu
case_002,FP16,96.02367991599994,0.0104140978649723,0.7381021430836915,,cpu
case_002,INT8,95.60403462499994,0.0104598096086888,0.0144036214730765,,cpu
case_003,ORIGINAL,68.46130929200001,0.0146067904680995,0.7929492053080627,,cpu
case_003,FP16,69.264488959,0.0144374125187285,0.7929290858867375,,cpu
case_003,INT8,75.13262129099996,0.0133097978323802,0.010866851972635,,cpu
case_004,ORIGINAL,153.219625833,0.0065265790499314,0.7281522572522815,,cpu
case_004,FP16,154.44435695799996,0.006474823811607,0.7281689534524957,,cpu
case_004,INT8,168.80686183399985,0.0059239298043664,0.0105265351871606,,cpu
case_005,ORIGINAL,86.70990583400021,0.0115327077152456,0.7960727799954916,,cpu
case_005,FP16,90.60353995800006,0.011037096348151,0.7960978457571968,,cpu
case_005,INT8,93.02498270899991,0.0107498004393958,0.0284132568497092,,cpu
case_006,ORIGINAL,91.77775933399994,0.0108958859668906,0.7475972583328592,,cpu
case_006,FP16,97.90352099999996,0.0102141372423163,0.747607300197919,,cpu
case_006,INT8,93.54769862500008,0.0106897338437864,0.011419997544454,,cpu
